,comment,download,follow,name,num_score,score,tags,volume
3347,12.0,6017.0,20.0,畅游十,4.0,4.1,['聊天'],35.43
3348,36.0,6019.0,234.0,一键清理(免root版),17.0,4.3,[],0.039912109375
3349,8.0,6021.0,210.0,Sprightly,8.0,4.2,"['目录', '制作']",36.99
3350,8.0,5942.0,16.0,到家美食会,2.0,4.2,"['订餐', '外卖']",28.69
3351,75.0,5942.0,253.0,彩色气球,15.0,4.2,['相册图库'],26.56
3352,23.0,5949.0,218.0,FlickMoment相册,17.0,4.2,"['相册', '图库']",12.32
3353,53.0,5950.0,187.0,Meeye 图标包 Xperia 扩展主题,16.0,4.5,['xperia主题'],4.8
3354,56.0,5953.0,57.0,魅族手环,22.0,3.3,"['手环', '心率', '魅族']",25.07
3355,47.0,5980.0,160.0,污托邦,9.0,4.0,"['漫画', '二次元']",30.74
3356,8.0,5983.0,164.0,小日子,7.0,3.9,"['小资', '小清新', '文艺']",54.82
3357,59.0,5926.0,1179.0,Stitch,28.0,4.7,"['截图', '拼图']",1.81
3358,39.0,5928.0,194.0,哈勃,132.0,2.5,"['腾讯', '安全', '病毒分析']",2.37
3359,78.0,5929.0,1340.0,BLE指令协议窃取,6.0,4.3,['xposed'],0.027998046875
3360,52.0,5836.0,146.0,极客天气,46.0,3.4,"['简洁', '天气', '信息']",0.95
3361,222.0,5860.0,2859.0,备用机,10.0,4.0,"['备用机', '通知转发']",2.99
3362,82.0,5872.0,437.0,Note,23.0,4.7,['便签'],2.35
3363,119.0,5881.0,793.0,Mapapers,21.0,4.4,[],1.63
3364,62.0,5890.0,156.0,小镜子,27.0,3.5,[],0.780068359375
3365,36.0,5897.0,970.0,C语言教程,15.0,4.1,[],2.93
3366,25.0,5900.0,486.0,PicsArt Animator: Gif & Video,5.0,4.0,"['动画制作', '涂鸦', 'gif', '创作', '创意']",25.71
3367,70.0,5913.0,673.0,Smalite New 图标包,22.0,4.8,['图标包'],4.99
3368,54.0,5924.0,166.0,读者在线,31.0,4.0,"['读者', '文章', '杂志']",5.5
3369,37.0,5924.0,274.0,Gemini Square 图标包,17.0,4.5,['图标'],10.8
3370,12.0,5790.0,65.0,优点电影,18.0,3.5,"['在线视频', '电影', '短视频', '视频', '好莱坞']",11.62
3371,16.0,5792.0,65.0,瘦瘦-健康瘦身减肥顾问,6.0,3.8,"['减肥', '体重']",28.96
3372,52.0,5810.0,59.0,QQ热点,167.0,2.0,"['新闻', '段子', '小说']",8.22
3373,195.0,5810.0,227.0,TT,13.0,3.8,"['社交', '聊天', '交友', '社区', '便捷生活', '即时通讯', 'TT']",12.56
3374,13.0,5827.0,37.0,青岛公交查询,7.0,4.4,"['实时公交', '出行', '公交', '公交查询', '青岛']",8.49
3375,15.0,5829.0,180.0,蜜读,10.0,3.6,"['读书', '书摘', '文艺']",3.53
3376,5.0,5829.0,36.0,去哪儿攻略,5.0,3.8,"['攻略', '游记', '旅游']",21.15
